label,Iemg,var,Mav,Zerocrossing,Signalslopechange,Iemg,var,Mav,Zerocrossing,Signalslopechange
lat,0.738729228,0.01859784561,0.1478053268,346,830,0.739067734,0.2678105857,0.1479760456,1062,795
lat,0.734572479,0.06336562104,0.1469790772,448,825,0.772712467,0.3379958248,0.1547202968,1106,818
lat,0.741262503,0.01753307693,0.1482966808,341,818,0.736950502,0.4477163078,0.1474658728,1223,814
lat,0.747833364,0.02823058914,0.1495700504,397,771,0.752743605,0.3469597053,0.1504255332,1174,820
lat,0.74984797,0.01681148543,0.1499984732,344,802,0.749609922,0.3480216442,0.149599836,1137,812
lat,0.749031954,0.02255574877,0.1498760728,436,801,0.754758765,0.2363169391,0.1509254944,1043,850
lat,0.734827496,0.01677858137,0.14701988,360,781,0.742464099,0.1686797468,0.1485992016,1054,831
lat,0.737683695,0.0162633953,0.147499314,391,792,0.754295961,0.1555981895,0.1511084172,1000,822
lat,0.739494348,0.01908552382,0.1479583508,412,848,0.751989771,0.1202023835,0.1504890312,968,804
lat,0.731741819,0.01155703718,0.1463976444,264,783,0.74619195,0.1603781942,0.1491203036,1025,806
lat,0.730441239,0.03090907711,0.146132428,394,819,0.736899599,0.2465103607,0.14741488,1031,860
lat,0.749363445,0.03747733017,0.1499474712,368,804,0.729196322,0.2002206258,0.1458946308,1045,872
lat,0.743753036,0.006949114621,0.1488151888,134,750,0.741108311,0.325114844,0.1485270044,1140,810
lat,0.758467568,0.006641140562,0.1517835968,140,764,0.743310264,0.280532839,0.148799044,1056,825
lat,0.733883926,0.003508945743,0.1468362664,44,697,0.721186848,0.2398729663,0.1443233452,1066,838
lat,0.74513017,0.01109013319,0.1490906156,270,863,0.72213058,0.492565739,0.1446804428,1199,834
lat,0.733960455,0.03635826723,0.1468566724,318,830,0.75707618,0.4032066797,0.15149611,1144,808
lat,0.74240148,0.008293227056,0.1485397772,190,710,0.738688893,0.2852591833,0.1479563944,1016,822
lat,0.733042344,0.004298608445,0.1466628496,76,746,0.745142316,0.3084453474,0.1491195404,1040,759
lat,0.726488443,0.00487157453,0.1453469692,114,792,0.741235938,0.189863657,0.1482821476,975,777
lat,0.73464896,0.006198526603,0.1469892732,162,748,0.762585853,0.2437187278,0.1525470292,1075,812
lat,0.729421168,0.006067605058,0.1459386144,132,754,0.745047902,0.1883686473,0.1490394388,1050,800
lat,0.735439538,0.006302278659,0.1471218872,176,778,0.747049415,0.2250486151,0.1493938276,977,769
lat,0.752500149,0.01052687897,0.1505391096,238,777,0.748375096,0.2829758513,0.1499089396,1054,853
lat,0.73929032,0.009289504553,0.1478563412,257,774,0.727334203,0.2327854485,0.1454456836,1081,784
lat,0.740845913,0.007444408376,0.1482439648,190,783,0.761131885,0.4061523038,0.1524041804,1118,896
lat,0.733475891,0.01033355475,0.1468056628,274,805,0.726215673,0.3682603779,0.1454566488,1113,893
lat,0.751658573,0.009528142363,0.1503758948,244,825,0.736393221,0.181486463,0.1473748228,973,894
lat,0.742860498,0.007849797416,0.1486009788,212,845,0.738823937,0.21763908,0.1478456616,925,840
